airport_node,page_rank_value
GKN,0.5903216393118149
RST,0.5890930550610878
FRD,0.5756521374642191
VRB,0.5678628558100707
LNK,0.5664379267294293
TEK,0.5609633966854904
LMA,0.5532840886707004
MOT,0.5511823425000518
CSG,0.5463993351435081
LAL,0.5455650044086509
YKM,0.5432419312321887
ROW,0.5413350495692113
TTN,0.5394526718503974
SCK,0.5354101593575048
SGU,0.5344001737165782
NIB,0.5304148830548372
SJT,0.5242921297372104
ITO,0.5239644521863512
CEM,0.5183476079476463
EXI,0.5149353290123918
PSG,0.5141445546419141
ADK,0.5017332272294346
EGX,0.49692087298358933
RCE,0.49518698505688713
AIN,0.4931819758553974
PAE,0.49110008511619085
WSN,0.4890362216170483
TWF,0.4862441873360906
APF,0.4856553260597842
WRG,0.4841656796552109
AGN,0.48073943708986805
MNZ,0.4794401331705724
DLH,0.47546132484167747
CMI,0.47499874984384793
FOE,0.4731642654646195
FOK,0.46540913630024305
ILG,0.4609936591719396
KAE,0.4582003586484271
ABI,0.44763035622030856
LNY,0.4469466127175793
HSH,0.44626564027060306
SWO,0.44545011940245505
ERI,0.4409323364215899
USA,0.438020768588749
UT1,0.4324488377293314
BLV,0.4309606883607357
DOF,0.4276074683921103
SPI,0.4253150769373046
ELM,0.4249228632864572
GTR,0.42333891201386076
UTO,0.42303043940067414
LBE,0.4207665603115082
SIG,0.41978523325160183
CZN,0.41950834422410155
AGS,0.41322174921018356
ESD,0.4112829469574318
ADS,0.4051412143386804
FMY,0.40213427496507864
APA,0.40024879655860934
PBG,0.39923634403847424
NNK,0.3989831411190695
ORL,0.3958501914742372
HKB,0.39437530034212476
HYA,0.3904667986314956
DEC,0.3903753829413303
AKB,0.386380214661266
RIV,0.38600484882980507
FYV,0.3841356518871201
TWA,0.3822600294050706
SKW,0.38102515351407723
MBS,0.38052934365785224
CPS,0.3792884490452062
YUM,0.3792862750885561
FTW,0.37858467293517656
PKB,0.3785076780230558
MLB,0.3780942621091505
CWA,0.37732592864918973
ABY,0.3703687381579548
MYK,0.3693887284654765
MXY,0.3693887284654765
EAA,0.36924225646014797
GRI,0.3688982289962751
EAR,0.36487638305146974
DRO,0.36238568884654804
HTS,0.3622953093598495
CHU,0.3612179993375434
LAF,0.36101143246909384
ATK,0.3595992143960002
PEC,0.35698781380299455
MCN,0.3566799927423501
FLG,0.35145339677124454
TKF,0.34356985477952345
RWI,0.3426379661974247
SMX,0.33123760199526925
HLN,0.32608137959609435
NYL,0.32477189911146004
MOB,0.3233280481847911
CRW,0.3226381390783319
KVC,0.32041973664474777
INT,0.3181908561046933
PWK,0.3154439044276281
DTO,0.314872308436926
IAG,0.3103861306866101
PIZ,0.30779513191529695
PTK,0.30559133390292353
OXC,0.30490912100637096
JRV,0.3029186317330754
RDV,0.30248297135313285
SQL,0.2967256788719369
PHF,0.29507819442831257
IYK,0.29244685944496923
SUS,0.28835001739451394
LBF,0.28616359988101797
UGN,0.2843527583476369
PDB,0.2827483030941955
FAY,0.2766408422418849
HTO,0.2748839251254959
RHI,0.2736168791028808
AZO,0.2721864267051933
BTM,0.2720984646070436
AVP,0.2716477426636156
CVO,0.27164239382760647
MGM,0.2715953338124981
MLU,0.27006117135693036
PIH,0.2689701135847557
PDT,0.2684620150220428
ITH,0.26804145138451946
GCK,0.26753941424860506
LSE,0.26581944233046967
PGV,0.263260934306202
MKK,0.26203588669241007
TBN,0.2599189994814027
ACV,0.2586606409234286
BFD,0.25852642695537054
JZE,0.2566365971957853
OAJ,0.25498352072686487
FBS,0.24817278854796498
RSJ,0.24817278854796498
TKE,0.24797136519630741
VDZ,0.244846653212204
CGI,0.24353591312627845
RDD,0.241465503464584
EAU,0.24033790234675048
MCK,0.2359336850806541
BIH,0.23488679301271878
FSM,0.22923404263781597
AHN,0.22751837420556326
VQQ,0.22450240439948
BFM,0.22319292510105065
JST,0.2220176677899086
RIL,0.2208527176609408
TEX,0.21931656799032084
IKO,0.21923505846620311
XWA,0.2190331850351055
SUX,0.21770087856118647
GUC,0.21710366640903844
WMK,0.2169253215040749
MZJ,0.21669613151046846
LCH,0.21619832290243318
OWB,0.21571925533602185
ELV,0.21567374917771875
LGD,0.21508509377808135
MQT,0.21446199701446533
LWS,0.21440730789905282
TUP,0.21354634641747935
BMG,0.21342663963927302
LUR,0.21334310515890342
DRT,0.21292235138313678
SAF,0.21225978606761398
OTH,0.21215864304374815
TVF,0.21161908972347607
MWA,0.21033865987902953
CKX,0.21033346813157225
BJI,0.20725873933931882
BQN,0.2061389521509048
LMT,0.20527131664204368
MKG,0.20027366139938554
EHM,0.2001264564341344
SHD,0.1986378443836041
SRV,0.1984626589636468
NGU,0.19488101461216992
SWD,0.1910918727765601
SLN,0.18969383218782132
MMU,0.1864264887940758
ESC,0.1858880916083528
A26,0.18520042424959546
A27,0.18520042424959546
GBH,0.18520042424959546
VIK,0.18520042424959546
BAF,0.179406498674266
TN8,0.17880822449518052
RBG,0.17870322511084635
SKF,0.17826199500126244
MTH,0.17505547150352394
SVC,0.17179030790943717
TCT,0.17082009717818145
TLJ,0.17082009717818145
TXK,0.170121083400603
A20,0.16938872856799161
A1K,0.16938872856799161
OGD,0.16710378309078489
CCR,0.16598516265355254
VIS,0.16584134047839735
EAT,0.16574848023877967
LGU,0.16520290918883204
PUB,0.1648724549292759
DIK,0.1644213069926513
PQI,0.16436435384855594
CMX,0.1640983273768028
SMN,0.16385249051828005
BPT,0.16377998166817465
CIU,0.1632642822055366
MSL,0.16271324187012723
BDR,0.1615037367157754
HHH,0.16139228541762496
BGM,0.1613740123062316
UKI,0.1612745047858238
PRC,0.16025780441750925
JZT,0.16018304513216255
PGA,0.15980289338018785
MPB,0.15945179475343102
PIB,0.15938212365467946
PVU,0.1589046204286993
PSM,0.15889377069821076
IMT,0.15881170618054857
VCV,0.15796418021232794
EWN,0.15789423223826696
SBY,0.15724366020944136
BKW,0.15617311663546649
ISM,0.15565562639106717
ABR,0.15560203986425178
SUA,0.15347178839664688
CLD,0.1446820839608775
PIR,0.14286013153944924
SPS,0.14084113274110774
RVS,0.13550728410867052
KFP,0.13412189125868132
NLG,0.13412189125868132
FMN,0.1273076983152728
PNE,0.1234896923802013
IPT,0.12309852928788839
BJC,0.12099856144818466
EWB,0.12078186813071232
NUQ,0.11965779932043881
GFL,0.11927637477119123
SAC,0.11889886108414939
JRA,0.1187849341312662
BWD,0.1177379809579371
TNC,0.11763790951475069
MVW,0.11738833330697417
CLM,0.11738833330697417
OCF,0.11734348708900072
ATO,0.11692370780736472
FTY,0.11664287770970906
WRI,0.11626991086397977
LUK,0.11624701947129618
LSF,0.11424498433442686
CGZ,0.11406667820053226
PAQ,0.11347512677215922
AGC,0.11271638065863235
CEC,0.11253101160971707
JZQ,0.11236506130266462
GAI,0.11208652133261465
VEL,0.11194769556605529
C01,0.1116910074715085
APN,0.11167912106502118
LAW,0.11136164043391605
GGG,0.11136164043391605
TYR,0.11136164043391605
PLN,0.11096361426069488
ALW,0.11086667959407076
BRL,0.11074943989520704
UIN,0.11074943989520704
RKS,0.11022550502130701
BFF,0.11022550502130701
ATY,0.11013256761382348
OGS,0.1100891587265982
FL9,0.11006338815317253
SLK,0.10979102952273975
MVL,0.10955929506969848
COD,0.10948483269195067
MCE,0.10930154310430362
HOB,0.10922722410721826
MCW,0.10910955081780137
IWD,0.10910955081780137
GLH,0.10906689087170056
ELD,0.10890153251171936
HRO,0.10890153251171936
MKL,0.10873892247480613
CNM,0.10840293732127798
ALO,0.10831992878965853
IPL,0.10790085204843428
CDC,0.1077038394727319
ONP,0.10768316182727752
LBL,0.10756564168324374
IAB,0.10748553373394956
FOD,0.10739981700613196
CEZ,0.10734241789687525
TRM,0.10718510488123616
DNE,0.10717255251062219
UTM,0.10699372733872983
HII,0.10687887427297997
GGW,0.1054989151873524
LWB,0.10544325498340303
DOV,0.1049940008341418
LNS,0.1048520053140039
MGW,0.1048520053140039
DUJ,0.1048520053140039
AOO,0.1048520053140039
BLM,0.10459903726599139
CNO,0.10455386998957726
STC,0.10400181104819328
APC,0.10360850339656881
LEB,0.10351755108448477
PVC,0.10351755108448477
GDC,0.10341454432869397
BKL,0.10331722971501817
LAR,0.10311664889035008
PPG,0.10220009406565296
JHM,0.10220009406565296
BQK,0.10215631220501778
CZF,0.10064252423658865
EDF,0.10064252423658865
SDY,0.09730844850031323
DPA,0.09729975060500208
SAA,0.09607172730889493
DHN,0.09606470622357945
BRD,0.09453072539570713
ADW,0.09320282524640974
DVL,0.08602810613786283
BTL,0.08528162042315134
JMS,0.08295762847602205
NPA,0.07942843203265917
VWW,0.07454539332145628
SLE,0.07217865532261171
PML,0.07013241904955199
BGE,0.0689136246954127
VWD,0.06678734570767013
UDD,0.06678734570767013
TSM,0.06678734570767013
MMH,0.06678734570767013
CXL,0.06678734570767013
PSF,0.06599609891755268
TSS,0.06599609891755268
MKC,0.06599609891755268
MJX,0.06599609891755268
II3,0.06421926269336861
LEE,0.06406424351023192
UST,0.061163438225150954
PUW,0.05927346267300854
UES,0.059012959295941955
TMB,0.059012959295941955
PTV,0.058652185501691545
FNL,0.058624010825191475
ZXU,0.05768270466262495
MTN,0.05768270466262495
DBQ,0.05680888287295967
MBL,0.05680888287295967
PAH,0.05680888287295967
JLN,0.05626011623647948
HOT,0.05626011623647948
MEO,0.055965834070360675
MUE,0.055919059738384805
HNM,0.055919059738384805
LNP,0.05567119206929911
JBR,0.055099149061290265
IRK,0.055099149061290265
HGR,0.05506525785879818
XXP,0.055037418147068425
ZXT,0.055037418147068425
N1C,0.054968584982240117
FWS,0.05494504347122686
VLD,0.05479836545255877
MN7,0.05474778586737052
AOH,0.05474778586737052
EKO,0.0545454411861623
NC3,0.054520624723125626
SPG,0.054520624723125626
GCC,0.05448227677990672
ALS,0.05448227677990672
CNY,0.05448227677990672
SHR,0.05448227677990672
CYS,0.05448227677990672
DDC,0.05448227677990672
CVN,0.05448227677990672
AIA,0.05448227677990672
RIW,0.05448227677990672
HYS,0.05448227677990672
CDR,0.05448227677990672
1TX,0.05437653813494821
NOT,0.05431699032561251
LUP,0.05415119586989699
LYH,0.05411273859059322
FLO,0.05411273859059322
SOW,0.05401873315601144
BVY,0.05396239818620984
PAO,0.05396239818620984
PRB,0.05396239818620984
FXE,0.05396239818620984
HIO,0.05396239818620984
JHW,0.05396239818620984
MEV,0.05396239818620984
ART,0.053947427252756426
HVN,0.053947427252756426
VCT,0.05357693327330148
MEI,0.05357693327330148
DCU,0.05345925998388461
INL,0.05345925998388461
HIB,0.05345925998388461
ARA,0.05332573928576241
RBN,0.05332059443838199
CLU,0.05328043481199227
SSI,0.05307276976411254
OSC,0.05262889215707862
IOW,0.05225101909870064
UOX,0.051985939135166324
AUG,0.05192433416342256
MSS,0.05192433416342256
RUT,0.05192433416342256
RKD,0.05192433416342256
BHB,0.05192433416342256
MCC,0.051679343052347934
NIP,0.05167330810811489
VWS,0.05159666249414563
AUO,0.05159666249414563
CIC,0.049629154849634316
JVL,0.049229171322022494
TDF,0.049229171322022494
RME,0.049229171322022494
LVK,0.048516538791501924
T8X,0.048516538791501924
MAZ,0.04821470332518511
GDV,0.04811030503456243
OLF,0.04811030503456243
HVR,0.04811030503456243
SBM,0.048098572869281354
GUP,0.04349101188081838
MDH,0.03691766842379575
MYF,0.033008269345807674
BIX,0.030638084346234593
